brewery_id,X,count.x,abv,ibu,id,beer,style,ounces,style2,count.y,brewery,city.x,state.x,label,Name,city.y,state.y,Imputed_IBU
2,1119,1119,0.052,18,2673,House Lager,Keller Bier / Zwickel Bier,16,NA,3,Jack's Abby Craft Lagers,Framingham,MA,House Lager (Jack's Abby Craft Lagers),Against the Grain Brewery,Louisville, KY,18
2,1120,1120,0.048,15,2672,Leisure Time,American Pale Lager,12,NA,3,Jack's Abby Craft Lagers,Framingham,MA,Leisure Time (Jack's Abby Craft Lagers),Against the Grain Brewery,Louisville, KY,15
2,1123,1123,0.049,45,2669,Calyptra,American India Pale Lager,12,NA,3,Jack's Abby Craft Lagers,Framingham,MA,Calyptra (Jack's Abby Craft Lagers),Against the Grain Brewery,Louisville, KY,45
2,1121,1121,0.072,80,2671,Excess IPL,American India Pale Lager,16,NA,3,Jack's Abby Craft Lagers,Framingham,MA,Excess IPL (Jack's Abby Craft Lagers),Against the Grain Brewery,Louisville, KY,80
2,1122,1122,0.067,65,2670,Hoponius Union,American India Pale Lager,12,NA,3,Jack's Abby Craft Lagers,Framingham,MA,Hoponius Union (Jack's Abby Craft Lagers),Against the Grain Brewery,Louisville, KY,65
3,1336,1336,0.08,100,2668,Habitus (2014),American Double / Imperial IPA,16,American Double / Imperial IPA,4,Mike Hess Brewing Company,San Diego,CA,Habitus (2014) (Mike Hess Brewing Company),Jack's Abby Craft Lagers,Framingham, MA,100
3,1339,1339,0.08,100,2664,Habitus,American Double / Imperial IPA,16,American Double / Imperial IPA,4,Mike Hess Brewing Company,San Diego,CA,Habitus (Mike Hess Brewing Company),Jack's Abby Craft Lagers,Framingham, MA,100
3,1340,1340,0.063,30,2663,Grazias,Cream Ale,16,NA,4,Mike Hess Brewing Company,San Diego,CA,Grazias (Mike Hess Brewing Company),Jack's Abby Craft Lagers,Framingham, MA,30
3,1341,1341,0.058,28,2662,Claritas,KÃ¶lsch,16,NA,4,Mike Hess Brewing Company,San Diego,CA,Claritas (Mike Hess Brewing Company),Jack's Abby Craft Lagers,Framingham, MA,28
3,1337,1337,0.075,85,2667,Solis,American IPA,16,American IPA,4,Mike Hess Brewing Company,San Diego,CA,Solis (Mike Hess Brewing Company),Jack's Abby Craft Lagers,Framingham, MA,85
3,1338,1338,0.06,24,2666,Jucundus,Wheat Ale,16,NA,4,Mike Hess Brewing Company,San Diego,CA,Jucundus (Mike Hess Brewing Company),Jack's Abby Craft Lagers,Framingham, MA,24
4,838,838,0.047,19,2661,Park,American Pale Wheat Ale,12,American Pale Wheat Ale,5,Fort Point Beer Company,San Francisco,CA,Park (Fort Point Beer Company),Mike Hess Brewing Company,San Diego, CA,19
4,841,841,0.063,42,2658,Villager,American IPA,12,American IPA,5,Fort Point Beer Company,San Francisco,CA,Villager (Fort Point Beer Company),Mike Hess Brewing Company,San Diego, CA,42
4,839,839,0.056,16,2660,Westfalia,American Amber / Red Ale,12,American Amber / Red Ale,5,Fort Point Beer Company,San Francisco,CA,Westfalia (Fort Point Beer Company),Mike Hess Brewing Company,San Diego, CA,16
4,840,840,0.046,17,2659,KSA,KÃ¶lsch,12,NA,5,Fort Point Beer Company,San Francisco,CA,KSA (Fort Point Beer Company),Mike Hess Brewing Company,San Diego, CA,17
5,493,493,0.093,NA,2657,Blackbeard,American Double / Imperial Stout,12,NA,6,COAST Brewing Company,Charleston,SC,Blackbeard (COAST Brewing Company),Fort Point Beer Company,San Francisco, CA,25
5,496,496,0.048,NA,2654,32Â°/50Â° KÃ¶lsch,KÃ¶lsch,16,NA,6,COAST Brewing Company,Charleston,SC,32Â°/50Â° KÃ¶lsch (COAST Brewing Company),Fort Point Beer Company,San Francisco, CA,40
5,497,497,0.077,NA,2653,HopArt,American IPA,16,American IPA,6,COAST Brewing Company,Charleston,SC,HopArt (COAST Brewing Company),Fort Point Beer Company,San Francisco, CA,45
5,494,494,0.062,NA,2656,Rye Knot,American Brown Ale,12,NA,6,COAST Brewing Company,Charleston,SC,Rye Knot (COAST Brewing Company),Fort Point Beer Company,San Francisco, CA,30
5,495,495,0.06,NA,2655,Dead Arm,American Pale Ale (APA),12,American Pale Ale (APA),6,COAST Brewing Company,Charleston,SC,Dead Arm (COAST Brewing Company),Fort Point Beer Company,San Francisco, CA,41
5,498,498,0.097,NA,2652,Boy King,American Double / Imperial IPA,16,American Double / Imperial IPA,6,COAST Brewing Company,Charleston,SC,Boy King (COAST Brewing Company),Fort Point Beer Company,San Francisco, CA,85
6,950,950,0.087,NA,2649,Hibernation Ale,Old Ale,12,NA,7,Great Divide Brewing Company,Denver,CO,Hibernation Ale (Great Divide Brewing Company),COAST Brewing Company,Charleston, SC,77
6,951,951,0.061,NA,2648,Whitewater,American Pale Wheat Ale,12,American Pale Wheat Ale,7,Great Divide Brewing Company,Denver,CO,Whitewater (Great Divide Brewing Company),COAST Brewing Company,Charleston, SC,69
6,949,949,0.05,NA,2650,Denver Pale Ale (Artist Series No. 1),American Pale Ale (APA),12,American Pale Ale (APA),7,Great Divide Brewing Company,Denver,CO,Denver Pale Ale (Artist Series No. 1) (Great Divide Brewing Company),COAST Brewing Company,Charleston, SC,40
6,954,954,0.05,NA,2645,Lasso,American IPA,12,American IPA,7,Great Divide Brewing Company,Denver,CO,Lasso (Great Divide Brewing Company),COAST Brewing Company,Charleston, SC,20
6,955,955,0.095,75,2644,Yeti  Imperial Stout,Russian Imperial Stout,12,NA,7,Great Divide Brewing Company,Denver,CO,Yeti  Imperial Stout (Great Divide Brewing Company),COAST Brewing Company,Charleston, SC,75
6,952,952,0.071,NA,2647,Rumble,American IPA,12,American IPA,7,Great Divide Brewing Company,Denver,CO,Rumble (Great Divide Brewing Company),COAST Brewing Company,Charleston, SC,70
6,953,953,0.083,NA,2646,Orabelle,Tripel,12,NA,7,Great Divide Brewing Company,Denver,CO,Orabelle (Great Divide Brewing Company),COAST Brewing Company,Charleston, SC,90
6,957,957,0.071,NA,2642,Titan IPA,American IPA,12,American IPA,7,Great Divide Brewing Company,Denver,CO,Titan IPA (Great Divide Brewing Company),COAST Brewing Company,Charleston, SC,85
6,956,956,0.073,NA,2643,Colette,Saison / Farmhouse Ale,12,NA,7,Great Divide Brewing Company,Denver,CO,Colette (Great Divide Brewing Company),COAST Brewing Company,Charleston, SC,65
7,2126,2126,0.065,35,2640,Peck's Porter,American Porter,16,NA,8,Tapistry Brewing,Bridgman,MI,Peck's Porter (Tapistry Brewing),Great Divide Brewing Company,Denver, CO,35
7,2127,2127,0.07,NA,2448,Reactor,American IPA,16,American IPA,8,Tapistry Brewing,Bridgman,MI,Reactor (Tapistry Brewing),Great Divide Brewing Company,Denver, CO,62
7,2128,2128,0.057,NA,2447,Mr. Orange,Witbier,16,NA,8,Tapistry Brewing,Bridgman,MI,Mr. Orange (Tapistry Brewing),Great Divide Brewing Company,Denver, CO,14
8,248,248,0.062,NA,2469,Ryecoe,American IPA,16,American IPA,9,Big Lake Brewing,Holland,MI,Ryecoe (Big Lake Brewing),Tapistry Brewing,Bridgman, MI,23
8,247,247,0.08,54,2639,Dark Star,American Stout,16,NA,9,Big Lake Brewing,Holland,MI,Dark Star (Big Lake Brewing),Tapistry Brewing,Bridgman, MI,54
9,2165,2165,0.052,NA,2638,G. B. Russoâ€™s Italian Pistachio Pale Ale,American Pale Ale (APA),16,American Pale Ale (APA),10,The Mitten Brewing Company,Grand Rapids,MI,G. B. Russoâ€™s Italian Pistachio Pale Ale (The Mitten Brewing Company),Big Lake Brewing,Holland, MI,45
10,395,395,0.065,NA,2541,Barrel Aged Triomphe,Belgian IPA,16,NA,11,Brewery Vivant,Grand Rapids,MI,Barrel Aged Triomphe (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,70
10,396,396,0.065,NA,2504,Cherry Doppelbock,Doppelbock,16,NA,11,Brewery Vivant,Grand Rapids,MI,Cherry Doppelbock (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,60
10,397,397,0.065,NA,2500,Tropical Saison,Saison / Farmhouse Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Tropical Saison (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,47
10,398,398,0.065,NA,2499,Beach Patrol,Witbier,16,NA,11,Brewery Vivant,Grand Rapids,MI,Beach Patrol (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,47
10,399,399,0.05,NA,2498,Nuit Serpent,Belgian IPA,16,NA,11,Brewery Vivant,Grand Rapids,MI,Nuit Serpent (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,15
10,400,400,0.09,NA,2481,Paris,Saison / Farmhouse Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Paris (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,100
10,401,401,0.055,NA,2476,The Grand Army,Belgian IPA,16,NA,11,Brewery Vivant,Grand Rapids,MI,The Grand Army (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,12
10,389,389,0.067,NA,2637,Belfort,Saison / Farmhouse Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Belfort (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,17
10,390,390,0.06,NA,2636,Star Runner,Belgian Pale Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Star Runner (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,69
10,391,391,0.098,NA,2598,Tart Side of the Barrel,American Double / Imperial Stout,16,NA,11,Brewery Vivant,Grand Rapids,MI,Tart Side of the Barrel (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,52
10,392,392,0.06,NA,2597,Linnaeus Mango IPA,American IPA,16,American IPA,11,Brewery Vivant,Grand Rapids,MI,Linnaeus Mango IPA (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,40
10,393,393,0.07,NA,2548,Beasts A'Burnin',Rauchbier,16,NA,11,Brewery Vivant,Grand Rapids,MI,Beasts A'Burnin' (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,75
10,394,394,0.077,NA,2542,Verdun,BiÃ¨re de Garde,16,NA,11,Brewery Vivant,Grand Rapids,MI,Verdun (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,70
10,408,408,NA,NA,2382,Fat Paczki,Belgian Dark Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Fat Paczki (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,70
10,409,409,NA,NA,2381,Earth-Like Planets,Belgian Pale Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Earth-Like Planets (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,28
10,410,410,0.061,NA,2290,Ski Patrol,Witbier,16,NA,11,Brewery Vivant,Grand Rapids,MI,Ski Patrol (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,55
10,411,411,0.063,NA,2241,Viking Ice Hole,Oatmeal Stout,16,NA,11,Brewery Vivant,Grand Rapids,MI,Viking Ice Hole (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,11
10,412,412,0.056,NA,2240,Rye Porter,American Porter,16,NA,11,Brewery Vivant,Grand Rapids,MI,Rye Porter (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,36
10,413,413,0.099,NA,2137,Wizard Burial Ground,Quadrupel (Quad),16,NA,11,Brewery Vivant,Grand Rapids,MI,Wizard Burial Ground (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,92
10,414,414,0.051,NA,2101,Smoky Wheat,Rauchbier,16,NA,11,Brewery Vivant,Grand Rapids,MI,Smoky Wheat (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,16
10,415,415,0.062,NA,2092,BRIPA,Belgian IPA,16,NA,11,Brewery Vivant,Grand Rapids,MI,BRIPA (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,42
10,416,416,0.062,NA,2091,Mela,Belgian Dark Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Mela (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,42
10,417,417,0.053,NA,2086,W.I.P.A Snappa,Belgian IPA,16,NA,11,Brewery Vivant,Grand Rapids,MI,W.I.P.A Snappa (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,24
10,418,418,0.063,NA,2023,Pepper in the Rye,Rye Beer,16,NA,11,Brewery Vivant,Grand Rapids,MI,Pepper in the Rye (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,65
10,419,419,0.064,NA,2006,Moe Lasses',American Stout,16,NA,11,Brewery Vivant,Grand Rapids,MI,Moe Lasses' (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,52
10,420,420,0.07,NA,1997,Pumpkin Tart,Fruit / Vegetable Beer,16,NA,11,Brewery Vivant,Grand Rapids,MI,Pumpkin Tart (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,60
10,421,421,0.067,NA,1977,Undertaker,Belgian Dark Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Undertaker (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,20
10,422,422,0.067,NA,1976,Undertaker (2014),Belgian Dark Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Undertaker (2014) (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,47
10,423,423,0.05,NA,1974,Coq D'Or,Belgian Pale Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Coq D'Or (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,31
10,424,424,0.06,NA,1973,North French,BiÃ¨re de Garde,16,NA,11,Brewery Vivant,Grand Rapids,MI,North French (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,41
10,425,425,0.065,NA,1959,Agent a Deux,Belgian Dark Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Agent a Deux (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,30
10,426,426,0.045,NA,1958,Belgian Wit,Witbier,16,NA,11,Brewery Vivant,Grand Rapids,MI,Belgian Wit (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,30
10,427,427,0.063,NA,1949,Pothole Stout,American Stout,16,NA,11,Brewery Vivant,Grand Rapids,MI,Pothole Stout (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,70
10,428,428,0.093,NA,1947,Tree Bucket,Belgian IPA,16,NA,11,Brewery Vivant,Grand Rapids,MI,Tree Bucket (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,25
10,429,429,0.073,NA,1785,Le Flaneur Ale,American Wild Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Le Flaneur Ale (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,30
10,430,430,0.056,NA,1651,Maize & Blueberry,Fruit / Vegetable Beer,16,NA,11,Brewery Vivant,Grand Rapids,MI,Maize & Blueberry (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,12
10,431,431,0.093,NA,1443,Trebuchet Double IPA,American Double / Imperial IPA,16,American Double / Imperial IPA,11,Brewery Vivant,Grand Rapids,MI,Trebuchet Double IPA (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,92
10,432,432,0.065,NA,1352,Contemplation,BiÃ¨re de Garde,16,NA,11,Brewery Vivant,Grand Rapids,MI,Contemplation (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,75
10,433,433,0.05,NA,1267,Black Rabbit,American Black Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Black Rabbit (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,15
10,434,434,0.09,NA,1266,Zaison,Saison / Farmhouse Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Zaison (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,30
10,435,435,0.082,NA,1178,Vivant Tripel,Tripel,16,NA,11,Brewery Vivant,Grand Rapids,MI,Vivant Tripel (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,65
10,436,436,0.098,NA,1136,Tart Side of the Moon,Belgian Dark Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Tart Side of the Moon (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,98
10,437,437,0.06,NA,1044,Big Red Coq,American Amber / Red Ale,16,American Amber / Red Ale,11,Brewery Vivant,Grand Rapids,MI,Big Red Coq (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,50
10,438,438,0.099,NA,1033,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),16,NA,11,Brewery Vivant,Grand Rapids,MI,Hubris Quadrupel Anniversary Ale (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,115
10,439,439,0.095,NA,1031,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,16,NA,11,Brewery Vivant,Grand Rapids,MI,Plow Horse Belgian Style Imperial Stout (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,75
10,440,440,0.092,NA,909,Escoffier Bretta Ale,American Wild Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Escoffier Bretta Ale (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,100
10,441,441,0.065,NA,873,Contemplation (2012),BiÃ¨re de Garde,16,NA,11,Brewery Vivant,Grand Rapids,MI,Contemplation (2012) (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,65
10,442,442,0.099,NA,860,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,16,NA,11,Brewery Vivant,Grand Rapids,MI,Vivant Belgian Style Imperial Stout (2012) (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,115
10,443,443,0.062,NA,677,Big Red Coq (2012),American Amber / Red Ale,16,American Amber / Red Ale,11,Brewery Vivant,Grand Rapids,MI,Big Red Coq (2012) (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,60
10,444,444,0.09,NA,671,Zaison (2012),Saison / Farmhouse Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Zaison (2012) (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,91
10,445,445,0.092,NA,670,Vivant Tripel (2012),Tripel,16,NA,11,Brewery Vivant,Grand Rapids,MI,Vivant Tripel (2012) (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,50
10,446,446,0.097,NA,669,Trebuchet Double IPA (2012),Belgian IPA,16,NA,11,Brewery Vivant,Grand Rapids,MI,Trebuchet Double IPA (2012) (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,94
10,447,447,0.085,NA,627,Kludde,Belgian Strong Dark Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Kludde (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,86
10,448,448,0.055,NA,387,Farm Hand,Saison / Farmhouse Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Farm Hand (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,28
10,449,449,0.06,NA,385,Solitude,Belgian Pale Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Solitude (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,20
10,450,450,0.065,NA,384,Triomphe,Belgian IPA,16,NA,11,Brewery Vivant,Grand Rapids,MI,Triomphe (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,70
10,403,403,0.066,NA,2466,Root Stock,Rye Beer,16,NA,11,Brewery Vivant,Grand Rapids,MI,Root Stock (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,65
10,404,404,0.041,NA,2465,Mind Games,Dunkelweizen,16,NA,11,Brewery Vivant,Grand Rapids,MI,Mind Games (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,25
10,405,405,0.082,NA,2433,Sous Chef,Belgian Strong Pale Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Sous Chef (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,115
10,402,402,0.059,NA,2467,Acidulated Trip,Saison / Farmhouse Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Acidulated Trip (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,50
10,407,407,0.062,NA,2416,Psychopomp,Belgian Dark Ale,16,NA,11,Brewery Vivant,Grand Rapids,MI,Psychopomp (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,75
10,406,406,0.065,NA,2418,Dubbelicious,Dubbel,16,NA,11,Brewery Vivant,Grand Rapids,MI,Dubbelicious (Brewery Vivant),The Mitten Brewing Company,Grand Rapids, MI,47
11,1641,1641,0.041,12,2635,Sparkle,American Pale Lager,16,NA,12,Petoskey Brewing,Petoskey,MI,Sparkle (Petoskey Brewing),Brewery Vivant,Grand Rapids, MI,12
11,1642,1642,0.059,25,1404,North 45 Amber Ale,American Amber / Red Ale,16,American Amber / Red Ale,12,Petoskey Brewing,Petoskey,MI,North 45 Amber Ale (Petoskey Brewing),Brewery Vivant,Grand Rapids, MI,25
11,1643,1643,0.069,20,1403,Horny Monk,Dubbel,16,NA,12,Petoskey Brewing,Petoskey,MI,Horny Monk (Petoskey Brewing),Brewery Vivant,Grand Rapids, MI,20
11,1644,1644,0.067,74,1402,Mind's Eye PA,American IPA,16,American IPA,12,Petoskey Brewing,Petoskey,MI,Mind's Eye PA (Petoskey Brewing),Brewery Vivant,Grand Rapids, MI,74
12,289,289,0.06,30,2153,North Third Stout,Foreign / Export Stout,12,NA,13,Blackrocks Brewery,Marquette,MI,North Third Stout (Blackrocks Brewery),Petoskey Brewing,Petoskey, MI,30
12,290,290,0.052,NA,1953,Honey Lav,American Pale Wheat Ale,12,American Pale Wheat Ale,13,Blackrocks Brewery,Marquette,MI,Honey Lav (Blackrocks Brewery),Petoskey Brewing,Petoskey, MI,16
12,291,291,0.068,NA,1496,Coconut Brown Ale,American Brown Ale,12,NA,13,Blackrocks Brewery,Marquette,MI,Coconut Brown Ale (Blackrocks Brewery),Petoskey Brewing,Petoskey, MI,65
12,293,293,0.055,NA,1480,Grand Rabbits,Cream Ale,12,NA,13,Blackrocks Brewery,Marquette,MI,Grand Rabbits (Blackrocks Brewery),Petoskey Brewing,Petoskey, MI,25
12,292,292,0.07,51,1481,51K IPA,American IPA,12,American IPA,13,Blackrocks Brewery,Marquette,MI,51K IPA (Blackrocks Brewery),Petoskey Brewing,Petoskey, MI,51
12,288,288,0.048,47,2634,Nordskye,American IPA,12,American IPA,13,Blackrocks Brewery,Marquette,MI,Nordskye (Blackrocks Brewery),Petoskey Brewing,Petoskey, MI,47
13,1628,1628,0.055,10,2633,Hotbox Brown,American Brown Ale,12,NA,14,Perrin Brewing Company,Comstock Park,MI,Hotbox Brown (Perrin Brewing Company),Blackrocks Brewery,Marquette, MI,10
13,1629,1629,0.048,15,2632,Gold,American Blonde Ale,12,American Blonde Ale,14,Perrin Brewing Company,Comstock Park,MI,Gold (Perrin Brewing Company),Blackrocks Brewery,Marquette, MI,15
13,1630,1630,0.058,NA,2631,Black,American Black Ale,12,NA,14,Perrin Brewing Company,Comstock Park,MI,Black (Perrin Brewing Company),Blackrocks Brewery,Marquette, MI,48
13,1631,1631,0.065,65,2630,98 Problems (Cuz A Hop Ain't One),American IPA,12,American IPA,14,Perrin Brewing Company,Comstock Park,MI,98 Problems (Cuz A Hop Ain't One) (Perrin Brewing Company),Blackrocks Brewery,Marquette, MI,65
13,1632,1632,0.05,40,2629,Veteranâ€™s Pale Ale (VPA),American Pale Ale (APA),12,American Pale Ale (APA),14,Perrin Brewing Company,Comstock Park,MI,Veteranâ€™s Pale Ale (VPA) (Perrin Brewing Company),Blackrocks Brewery,Marquette, MI,40
13,1633,1633,0.05,35,2628,Grapefruit IPA,American IPA,12,American IPA,14,Perrin Brewing Company,Comstock Park,MI,Grapefruit IPA (Perrin Brewing Company),Blackrocks Brewery,Marquette, MI,35
14,2389,2389,0.058,72,2627,Train Hopper,American IPA,12,American IPA,15,Witch's Hat Brewing Company,South Lyon,MI,Train Hopper (Witch's Hat Brewing Company),Perrin Brewing Company,Comstock Park, MI,72
14,2390,2390,0.045,NA,2626,Edwardâ€™s Portly Brown,American Brown Ale,12,NA,15,Witch's Hat Brewing Company,South Lyon,MI,Edwardâ€™s Portly Brown (Witch's Hat Brewing Company),Perrin Brewing Company,Comstock Park, MI,15
15,842,842,0.085,50,2625,Dirty Bastard,Scotch Ale / Wee Heavy,12,NA,16,Founders Brewing Company,Grand Rapids,MI,Dirty Bastard (Founders Brewing Company),Witch's Hat Brewing Company,South Lyon, MI,50
15,843,843,0.072,65,1565,Centennial IPA,American IPA,12,American IPA,16,Founders Brewing Company,Grand Rapids,MI,Centennial IPA (Founders Brewing Company),Witch's Hat Brewing Company,South Lyon, MI,65
15,844,844,0.047,42,1223,All Day IPA,American IPA,12,American IPA,16,Founders Brewing Company,Grand Rapids,MI,All Day IPA (Founders Brewing Company),Witch's Hat Brewing Company,South Lyon, MI,42
